TEAM,RD,PICK_NO,JIMMY_JOHNSON_VAL,RICH_HILL_VAL,FITZGERALD-SPIELBERGER_VAL,HARVARD_VAL,AGGREGATE_VAL
NYG,1,5,1700,468,2184,357.9,4709.9
NYG,1,7,1500,426,2014,329.4,4269.4
WAS,1,11,1250,358,1785,291,3684
PHI,1,15,1050,315,1628,264.7,3257.7
LAC,1,17,950,296,1564,254,3064
PHI,1,18,900,287,1535,249.2,2971.2
DAL,1,24,740,237,1389,224.7,2590.7
KC,1,29,640,202.61,1294,208.7,2345.31
KC,1,30,620,196.31,1276,205.8,2298.11
NYG,2,36,540,166,1184,169.5,2059.5
WAS,2,47,430,124,1049,151.3,1754.3
KC,2,50,400,115,1018,147,1680
PHI,2,51,390,112,1007,145.6,1654.6
DAL,2,56,340,98,960,138.9,1536.9
KC,2,62,284,83.98,909,131.4,1408.38
DEN,2,64,270,80,892,129.1,1371.1
NYG,3,67,255,75,869,125.8,1324.8
DEN,3,75,215,63,812,117.4,1207.4
LAC,3,79,195,57,786,113.5,1151.5
NYG,3,81,185,55,773,111.6,1124.6
PHI,3,83,175,52,761,109.7,1097.7
LV,3,86,160,49,743,107.1,1059.1
DAL,3,88,150,47,731,105.3,1033.3
KC,3,94,124,41.15,698,100.3,963.45
DEN,3,96,116,39,687,98.6,940.6
PHI,3,101,96,36,661,94.7,887.7
KC,3,103,88,33.73,651,93.2,865.93
NYG,4,112,70,30,609,86.7,795.7
WAS,4,113,68,29,604,86,787
DEN,4,115,64,28,595,84.6,771.6
DEN,4,116,62,28,591,84,765
KC,4,121,52,22.59,570,80.7,725.29
LAC,4,123,49,24,561,79.4,713.4
PHI,4,124,48,24,557,78.7,707.7
LV,4,126,46,23,549,77.5,695.5
DAL,4,129,43,21,537,75.6,676.6
KC,4,135,38.5,16.54,514,72,641.04
DEN,5,145,33,14,478,66.4,591.4
NYG,5,147,31,14,471,65.3,581.3
PHI,5,154,28.2,12,447,61.6,548.8
DAL,5,155,27.8,11,444,61.1,543.9
LAC,5,160,25.8,10,428,58.5,522.3
PHI,5,162,25,10,422,57.5,514.5
LV,5,164,24.2,9,416,56.6,505.8
LV,5,165,23.8,9,412,56.1,500.9
PHI,5,166,23.4,9,409,55.6,497
DAL,5,167,23,9,406,55.1,493.1
NYG,5,173,20.6,8,388,52.3,468.9
DAL,5,176,19.4,7,380,50.9,457.3
DAL,5,178,18.6,7,374,50,449.6
NYG,6,182,17,7,363,48.2,435.2
WAS,6,189,14.2,6,344,45.2,409.4
DAL,6,193,12.6,6,333,43.5,395.1
LAC,6,195,11.8,5,328,42.6,387.4
DEN,6,206,7.4,4,300,38.2,349.6
LAC,6,214,4.2,3,281,35.1,323.3
